TF 1,TF 2,ΔDepth (Pair),Synergy,Expected (Additive)
CHD1(+),RBBP5(+),0.27237618198277436,-0.07790096494076026,0.3502771469235346
CHD1(+),REL(+),0.2826180676741077,-0.06944831620611125,0.35206638388021894
FOXK1(+),RORA(+),0.2577658924862114,-0.03969520931785131,0.2974611018040627
FOXK1(+),RBBP5(+),0.1930403570072574,-0.039280362280782466,0.23232071928803988
ZNF195(+),RORA(+),0.27157030294056494,-0.029834426010543202,0.30140472895110815
