sigma,flip_rate,stability
0.0,0.0,1.0
0.05,0.04269662921348315,0.9573033707865168
0.1,0.04756554307116104,0.952434456928839
0.2,0.055430711610486884,0.9445692883895132
0.4,0.058052434456928835,0.9419475655430711
0.6,0.057677902621722836,0.9423220973782772
0.8,0.05056179775280899,0.949438202247191
1.0,0.0539325842696629,0.9460674157303371
