tf1,tf2,mean_stability_pair,delta_depth_vs_base,auc_pair,delta_auc_vs_base,expected_additive,synergy
RORA(+),ZBTB49(+),0.6860486891385768,-0.03094569288389526,0.6075561797752809,-0.39244382022471913,-8.426966292130004e-05,-0.39235955056179783
RORA(+),KDM5B(+),0.6897940074906367,-0.027200374531835325,0.6112078651685393,-0.3887921348314607,1.872659176040001e-05,-0.3888108614232211
RORA(+),ELK3(+),0.6976123595505617,-0.019382022471910343,0.6189138576779026,-0.38108614232209737,-0.0024063670411984,-0.37867977528089897
RORA(+),REL(+),0.6864700374531836,-0.03052434456928843,0.6082865168539326,-0.39171348314606735,-0.001320224719101,-0.39039325842696637
RORA(+),DBP(+),0.6892790262172284,-0.027715355805243647,0.6090449438202248,-0.3909550561797752,-0.0008801498127339,-0.39007490636704134
RORA(+),RUNX2(+),0.6886704119850187,-0.02832397003745335,0.6104307116104869,-0.3895692883895131,0.0005430711610488999,-0.390112359550562
RORA(+),FOXP4(+),0.6896067415730336,-0.027387640449438422,0.6106554307116104,-0.38934456928838956,-0.0016011235955055,-0.38774344569288405
RORA(+),NFATC2(+),0.691058052434457,-0.02593632958801506,0.6126217228464419,-0.3873782771535581,-0.00030898876404480003,-0.3870692883895133
RORA(+),SP2(+),0.6857677902621722,-0.03122659176029985,0.6068445692883895,-0.3931554307116105,0.00039325842696639996,-0.39354868913857693
RORA(+),CXXC1(+),0.6958333333333333,-0.021161048689138706,0.6174999999999999,-0.38250000000000006,-0.0006460674157303,-0.38185393258426975
SP3(+),ZNF528(+),0.6867977528089888,-0.030196629213483206,0.6102247191011236,-0.38977528089887636,0.0007116104868912,-0.3904868913857676
SP3(+),KLF2(+),0.6830524344569289,-0.03394194756554314,0.6051779026217228,-0.3948220973782772,-0.0033426966292134,-0.39147940074906384
SP3(+),ZBTB49(+),0.684691011235955,-0.032303370786517016,0.6083988764044944,-0.3916011235955056,-0.0005617977528091,-0.39103932584269646
SP3(+),KDM5B(+),0.6878277153558052,-0.029166666666666785,0.6104868913857677,-0.3895131086142323,-0.0004588014981274,-0.3890543071161049
SP3(+),ELK3(+),0.6907303370786517,-0.026264044943820286,0.6156460674157304,-0.38435393258426964,-0.0028838951310862,-0.3814700374531834
SP3(+),REL(+),0.6807584269662922,-0.036235955056179825,0.6025749063670413,-0.39742509363295875,-0.0017977528089888001,-0.39562734082396994
SP3(+),DBP(+),0.6847378277153557,-0.03225655430711627,0.6083520599250937,-0.39164794007490633,-0.0013576779026217,-0.39029026217228463
SP3(+),RUNX2(+),0.6853932584269663,-0.03160112359550571,0.6081179775280899,-0.39188202247191006,6.554307116109995e-05,-0.39194756554307114
SP3(+),FOXP4(+),0.6890449438202247,-0.027949438202247268,0.6123033707865168,-0.38769662921348325,-0.0020786516853933,-0.38561797752808996
SP3(+),NFATC2(+),0.6850187265917602,-0.03197565543071179,0.6073970037453184,-0.39260299625468165,-0.0007865168539326,-0.39181647940074904
SP3(+),SP2(+),0.6851123595505617,-0.0318820224719103,0.6083895131086142,-0.3916104868913858,-8.426966292140005e-05,-0.39152621722846437
SP3(+),CXXC1(+),0.6847378277153559,-0.03225655430711616,0.6083801498127341,-0.39161985018726586,-0.0011235955056181001,-0.3904962546816478
ZNF528(+),KLF2(+),0.6701779026217228,-0.04681647940074918,0.5917790262172284,-0.40822097378277156,-0.0007209737827715999,-0.4075
ZNF528(+),ZBTB49(+),0.6761704119850187,-0.040823970037453305,0.5990449438202247,-0.40095505617977534,0.0020599250936327,-0.403014981273408
ZNF528(+),KDM5B(+),0.672565543071161,-0.044428838951311,0.5947846441947565,-0.4052153558052435,0.0021629213483144,-0.4073782771535579
ZNF528(+),ELK3(+),0.6775280898876405,-0.03946629213483155,0.6011423220973783,-0.3988576779026217,-0.00026217228464440003,-0.3985955056179773
ZNF528(+),REL(+),0.6713014981273409,-0.04569288389513115,0.5940823970037453,-0.4059176029962547,0.000823970037453,-0.40674157303370767
ZNF528(+),DBP(+),0.6739700374531835,-0.0430243445692885,0.5969850187265918,-0.4030149812734082,0.0012640449438201,-0.4042790262172283
ZNF528(+),RUNX2(+),0.6751404494382023,-0.041853932584269726,0.5985393258426966,-0.40146067415730335,0.0026872659176029002,-0.40414794007490623
ZNF528(+),FOXP4(+),0.6791666666666667,-0.037827715355805314,0.602621722846442,-0.397378277153558,0.0005430711610485001,-0.3979213483146065
ZNF528(+),NFATC2(+),0.6733614232209737,-0.04363295880149831,0.5953277153558053,-0.4046722846441947,0.0018352059925092,-0.4065074906367039
ZNF528(+),SP2(+),0.673876404494382,-0.04311797752808999,0.597743445692884,-0.40225655430711604,0.0025374531835204,-0.40479400749063643
ZNF528(+),CXXC1(+),0.6758895131086142,-0.041104868913857784,0.5996441947565543,-0.4003558052434457,0.0014981273408237001,-0.40185393258426944
KLF2(+),ZBTB49(+),0.6722846441947565,-0.04470973782771548,0.5940355805243446,-0.4059644194756554,-0.0019943820224719,-0.40397003745318355
KLF2(+),KDM5B(+),0.6711610486891386,-0.04583333333333339,0.5930992509363295,-0.40690074906367046,-0.0018913857677902,-0.4050093632958803
KLF2(+),ELK3(+),0.6746722846441948,-0.04232209737827719,0.5974625468164794,-0.40253745318352063,-0.004316479400749,-0.39822097378277166
KLF2(+),REL(+),0.6707865168539326,-0.046207865168539364,0.5926310861423222,-0.4073689138576778,-0.0032303370786515998,-0.4041385767790262
KLF2(+),DBP(+),0.6734550561797753,-0.04353932584269671,0.5965543071161049,-0.4034456928838951,-0.0027902621722845,-0.4006554307116106
KLF2(+),RUNX2(+),0.677621722846442,-0.039372659176030056,0.5993820224719101,-0.4006179775280899,-0.0013670411985017,-0.39925093632958825
KLF2(+),FOXP4(+),0.6775280898876405,-0.03946629213483155,0.6007209737827715,-0.39927902621722855,-0.0035112359550561,-0.39576779026217246
KLF2(+),NFATC2(+),0.6716760299625468,-0.04531835205992518,0.5931928838951311,-0.40680711610486886,-0.0022191011235953998,-0.40458801498127345
KLF2(+),SP2(+),0.6709269662921349,-0.046067415730337125,0.591498127340824,-0.40850187265917604,-0.0015168539325841998,-0.4069850187265918
KLF2(+),CXXC1(+),0.6745786516853933,-0.04241573033707868,0.5965917602996256,-0.4034082397003744,-0.0025561797752809,-0.40085205992509354
ZBTB49(+),KDM5B(+),0.6747191011235956,-0.042275280898876444,0.5977153558052435,-0.4022846441947565,0.0008895131086141,-0.40317415730337064
ZBTB49(+),ELK3(+),0.6775749063670412,-0.0394194756554308,0.601376404494382,-0.398623595505618,-0.0015355805243447,-0.3970880149812733
ZBTB49(+),REL(+),0.6711610486891386,-0.04583333333333339,0.5932116104868914,-0.4067883895131086,-0.0004494382022473,-0.4063389513108613
ZBTB49(+),DBP(+),0.6754213483146068,-0.04157303370786525,0.5980524344569288,-0.4019475655430712,-9.363295880200032e-06,-0.401938202247191
ZBTB49(+),RUNX2(+),0.6749063670411986,-0.04208801498127346,0.5984831460674158,-0.4015168539325842,0.0014138576779026,-0.40293071161048677
ZBTB49(+),FOXP4(+),0.6764044943820225,-0.04058988764044946,0.5989138576779026,-0.4010861423220974,-0.0007303370786518,-0.4003558052434456
