regime,rep,auc0,S_auc,S_depth
Redundancy,0,0.9462666666666666,0.6482666666666669,1.0952260665397782
Redundancy,1,0.9356,0.40359999999999996,0.6184446676381641
Redundancy,2,0.9097333333333333,0.3888,0.6378028972491863
Redundancy,3,0.9505333333333333,0.40493333333333337,0.5492471580396083
Redundancy,4,0.8642666666666666,0.37613333333333343,0.6717038020438253
Redundancy,5,0.8737333333333334,0.29813333333333314,0.3686434889888272
Redundancy,6,0.9325333333333333,0.2334666666666665,0.3212490772589609
Redundancy,7,0.8952,0.4717333333333332,0.762005820409729
Redundancy,8,0.8480000000000001,0.42359999999999987,0.6397976213822357
Redundancy,9,0.9021333333333332,0.39986666666666676,0.6074081531495708
Redundancy,10,0.8985333333333333,0.4521333333333334,0.692301727069462
Redundancy,11,0.9073333333333333,0.39959999999999996,0.5214533958193753
Redundancy,12,0.8976,0.5062666666666666,0.8384612033148124
Redundancy,13,0.8566666666666667,0.29213333333333324,0.41412913176549065
Redundancy,14,0.9262666666666667,0.3621333333333332,0.43177789486837126
Redundancy,15,0.9271999999999999,0.46240000000000014,0.7112077475093147
Redundancy,16,0.9334666666666667,0.2958666666666667,0.40461957921496083
Redundancy,17,0.9345333333333333,0.42600000000000005,0.6088884066325115
Redundancy,18,0.8817333333333334,0.34253333333333325,0.4767926646031848
Redundancy,19,0.9162666666666666,0.4498666666666668,0.6871414669585834
Redundancy,20,0.9138666666666667,0.35906666666666653,0.5054657020794343
Redundancy,21,0.9318666666666666,0.4290666666666666,0.6774336095984876
Redundancy,22,0.8838666666666666,0.5358666666666668,0.9052501898470353
Redundancy,23,0.8996,0.2772,0.3701605054885888
Redundancy,24,0.8755999999999999,0.36053333333333326,0.5003443860381367
Redundancy,25,0.9002666666666667,0.3196,0.47499445084982217
Redundancy,26,0.9105333333333333,0.3250666666666666,0.4493464953770725
Redundancy,27,0.8846666666666667,0.3490666666666665,0.557963969160033
Redundancy,28,0.9050666666666667,0.33786666666666665,0.47237933603050863
Redundancy,29,0.9306666666666668,0.26973333333333327,0.39963823745639937
Redundancy,30,0.8309333333333333,0.44173333333333337,0.8725515810800204
Redundancy,31,0.9042666666666667,0.3618666666666668,0.4730543423832184
Redundancy,32,0.8901333333333333,0.4054666666666667,0.6193949335930156
Redundancy,33,0.9277333333333333,0.47253333333333314,0.6035078103557007
Redundancy,34,0.8990666666666667,0.3455999999999999,0.47141148222077
Redundancy,35,0.9037333333333334,0.4369333333333333,0.6075442218614931
Redundancy,36,0.9119999999999999,0.37893333333333346,0.5451282353941506
Redundancy,37,0.9303999999999999,0.47786666666666666,0.7225500160615318
Redundancy,38,0.9009333333333333,0.3810666666666668,0.7089991920785009
Redundancy,39,0.8881333333333332,0.28733333333333344,0.32213519313073036
Redundancy,40,0.9464,0.36639999999999995,0.49395669838113665
Redundancy,41,0.9136,0.38746666666666674,0.5606414267177378
Redundancy,42,0.9233333333333333,0.1723999999999999,0.21164025930571084
Redundancy,43,0.9406666666666667,0.40613333333333335,0.5214068351462438
Redundancy,44,0.9194666666666665,0.3866666666666666,0.5945127658515561
Redundancy,45,0.8781333333333333,0.4106666666666667,0.6353386773841453
Redundancy,46,0.8864,0.45613333333333334,0.6949256166539608
Redundancy,47,0.9138666666666666,0.48706666666666676,0.8191969614857396
Redundancy,48,0.9242666666666666,0.4785333333333335,0.6580920998633849
Redundancy,49,0.9194666666666667,0.3388000000000002,0.4637823974837506
Complementarity,0,0.9174666666666667,-0.04679999999999995,0.11578959756083429
Complementarity,1,0.9045333333333333,-0.06653333333333333,0.007294491429207017
Complementarity,2,0.8693333333333334,-0.06906666666666661,0.0046448225840823865
Complementarity,3,0.8634666666666667,-0.09426666666666661,0.09096998880556506
Complementarity,4,0.9029333333333334,-0.08093333333333341,0.07877719471278755
Complementarity,5,0.8117333333333334,-0.04973333333333346,0.029015189380772965
Complementarity,6,0.7944,-0.013866666666666638,0.06638250297642656
Complementarity,7,0.8503999999999999,0.03146666666666681,0.1756061431482877
Complementarity,8,0.8308,-0.0853333333333332,0.11821411389887371
Complementarity,9,0.8952,-0.07306666666666661,0.12477079729167789
Complementarity,10,0.8368,-0.05133333333333323,0.05314060918718766
Complementarity,11,0.8479999999999999,-0.03293333333333304,0.13561774784339725
Complementarity,12,0.794,-0.03199999999999997,0.10037137989632106
Complementarity,13,0.8481333333333333,0.027600000000000124,0.20424022177785217
Complementarity,14,0.8897333333333333,-0.016133333333333277,0.0368193974927532
Complementarity,15,0.9310666666666667,0.02386666666666659,0.12961767716197303
Complementarity,16,0.8549333333333333,0.032533333333333414,0.11897392329196355
Complementarity,17,0.8181333333333334,-0.010266666666666757,0.06703719757728904
Complementarity,18,0.8670666666666667,-0.10999999999999999,-0.027962489907436328
Complementarity,19,0.8293333333333333,0.021733333333333382,0.14890283688681094
Complementarity,20,0.8817333333333333,-0.03506666666666669,0.0984394687930158
Complementarity,21,0.854,0.0338666666666666,0.13233106086718238
Complementarity,22,0.8862666666666666,-0.06533333333333324,0.17543404681070807
Complementarity,23,0.9204,-0.05253333333333343,0.12064168463681174
Complementarity,24,0.8385333333333332,-0.011066666666666558,0.1808746914516196
Complementarity,25,0.8773333333333333,-0.034266666666666556,0.06726729762142536
Complementarity,26,0.8418666666666667,-0.026533333333333298,0.11097621603539343
Complementarity,27,0.8974666666666666,-0.05346666666666655,0.006765851792558175
Complementarity,28,0.8945333333333333,0.008799999999999919,0.2441773603029629
Complementarity,29,0.8622666666666667,-0.09320000000000017,0.06569135282112182
Complementarity,30,0.8893333333333333,-0.033466666666666534,0.05371770854229441
Complementarity,31,0.8552,-0.04226666666666645,-0.0065093410173416855
Complementarity,32,0.8649333333333333,-0.0438666666666665,0.04665110310443493
Complementarity,33,0.8588,-0.0938666666666666,0.01781178770284708
Complementarity,34,0.8330666666666666,-0.03533333333333322,0.08817898051688566
Complementarity,35,0.8414666666666667,-0.04293333333333332,0.02959315302265153
