TF,target,importance
ZNF683,RP11-266L9.5,23.153158050404183
ZNF683,ANKRA2,23.077833301940416
NR4A1,BEX5,23.014922421873408
ZNF568,LINS1,22.942176563898286
R3HDM2,HMGN4,22.888482174986866
ZNF394,R3HDM2,22.819535647323153
ZBTB2,TP53I11,22.783287750237218
HIST2H2BE,POU2F1,22.53744582219936
ELF1,TNXB,22.519439999366377
ZNF430,FGFBP3,22.46162120358456
ZNF683,NPRL3,22.396129994115867
HIST2H2BE,LRRC58,22.394570723177942
ZNF683,RP11-428G5.5,22.331521028659722
PHF21A,PRR34,22.33121057356038
ZNF568,EIF1AD,22.222038304805967
NFATC2,ANO9,22.19641630530562
ZNF800,NUP153,22.169777085689805
SPATS2,FIG4,22.133853543267698
ZNF683,TCEAL1,22.025314087503975
ZKSCAN4,ZHX2,21.994434549415416
ZNF683,GAK,21.976938566268974
SPATS2,MSTO1,21.96222511776797
ZFP90,ADCK5,21.916945144227064
ZNF407,TFPI,21.911215616183107
ZNF224,LINC00954,21.907631431160254
ZHX2,LILRB1,21.79393100396514
FOXP4,ZNF740,21.76694923485796
ZNF683,ITGAM,21.693539401020626
MBD1,TMEM147-AS1,21.65687490180612
RORA,ZNF350,21.61729965966918
SP2,KCTD10,21.36016388528705
ING3,LINC01138,21.35810766102003
EOMES,HSH2D,21.317927939242725
ZNF528,ATG2B,21.213062312779254
KLF2,FRZB,21.160226463896805
ELF1,RP11-356J5.12,21.134606471362954
CCNT2,DPH7,21.081280808741695
KLF2,AP2A2,20.940634718291722
ZNF800,ARL8A,20.8018978029267
ELK3,EOMES,20.74477754407047
ZFP90,SNAP47,20.680739185512447
U2AF1,NCOA3,20.556749399650897
ZNF33A,FAM73B,20.3851146875614
NR4A1,CHST7,20.288607774378494
ELF1,C3,20.287545306040062
ZNF408,NUP88,20.277473791194865
ZNF195,MBD1,20.252273693673477
ZNF528,RP11-393I2.4,20.213587987615313
ZNF740,FOXP4,20.143773646003837
ARFGAP1,SPATS2,20.017451598441834
NFATC2,SUN3,20.00267086710734
KDM4C,RP13-616I3.1,19.99450786581406
ZNF408,RFTN1,19.976068816922023
RUNX3,RHBDF2,19.867407479499274
ZNF195,PHKA2,19.774738956578826
U2AF1,RP13-616I3.1,19.750038356942923
R3HDM2,ARMT1,19.72749668165983
ZNF251,BSDC1,19.663865532477775
ZKSCAN4,LILRB1,19.661396829253622
NPDC1,INF2,19.617217026051534
ELF1,CCDC122,19.578169340233543
PPP1R10,LINC00672,19.518109826365354
ELF1,COMP,19.514468951269187
EOMES,EPM2AIP1,19.500031430998757
NELFB,PGLYRP2,19.47906653369593
ZNF652,LINC01550,19.471152827539523
AGAP2,ARL17A,19.46345022582492
RBBP5,ARHGEF2,19.44921016165815
DUS3L,AK9,19.38447154843109
MYB,FLJ37453,19.38120587752068
ZNF302,METTL16,19.368958213511746
ZNF430,GTF2H2,19.35044503618041
ZNF184,RP11-18H21.1,19.180489418043994
ZHX2,HIST1H2BH,19.15008406488009
ZNF184,PDE6G,19.038995314814294
ELF1,TYW1,19.03318804171444
ZNF33A,GRAP,18.996646015141547
EOMES,FGR,18.983004761164384
ZFP14,MOCS3,18.975917708713745
ING3,SLC12A2,18.939741659635217
ZNF302,ZBED4,18.92702893471602
RBBP5,CPE,18.84107238147913
ZNF626,XKR8,18.823894600115104
ZFP14,AC009403.2,18.816747927025297
ZKSCAN4,NDOR1,18.777450462488567
KLF2,KIAA0196,18.76486741499452
ZNF567,RP11-296O14.3,18.715881567844125
NFATC2,TM9SF1,18.66454587474689
KDM4C,C1QB,18.60509796084158
ZNF528,MIER3,18.60255874602733
ELK3,CAMK2G,18.530487995339715
KLF2,NDUFA4L2,18.503277192198393
HIST1H2BN,SP140,18.49379748854834
ZNF740,C11orf21,18.4739019162752
EOMES,KIR2DL4,18.454091526890174
EOMES,FO538757.2,18.45356454395693
SPATS2,PMEL,18.428324340025654
KDM4C,MPHOSPH9,18.392099092781876
ARFGAP1,LTV1,18.174398134447323
HIST2H2BE,RP11-332H14.2,18.15964904003044
ZNF800,UBQLN4,18.1412426081934
HIST1H2BN,DIAPH1,18.12103663434656
ZNF800,GDPD5,18.079820346860654
CEBPE,RP11-326I11.3,18.047105205555553
EGR2,DGKE,17.998253340705592
SPATS2,MOSPD2,17.907348580831407
KLRG1,PHTF1,17.8970709433838
ZNF33A,DPYD,17.894351876369765
PHF21A,QPRT,17.890329212843145
CEBPE,ANAPC2,17.879537458660106
TRMT1,ZNF700,17.878118923524568
RNF138,HSPA6,17.821975212041814
ZNF683,VCPIP1,17.771585854792015
ZBTB20,RBM33,17.75625454467929
ZNF224,HAUS6,17.75029635335501
ZNF800,TEP1,17.725134973284266
SPATS2,NOL4L,17.66225909623641
ZZZ3,DUS3L,17.64274398750826
AGAP2,PLXDC1,17.61174738045278
NR4A1,EPM2A,17.56268648349424
RUNX3,NDUFAF1,17.555345379572294
E2F5,SLC41A3,17.52962564766671
ZBTB49,SLC9A8,17.47587849444602
ZFP14,CD160,17.470654696611923
PHTF1,NELFB,17.463969917334605
RUNX3,TRAK2,17.413548710453277
POU2F1,BOD1L1,17.304391423241462
ZNF394,ZBP1,17.303722306118914
NFAT5,CRLF2,17.242644983176593
PHF21A,AC002467.7,17.18636387336399
ZNF568,ANKH,17.178513481443726
KLF2,FABP4,17.12331394940805
SPATS2,HIST1H2AC,17.108183637468358
ZNF394,CEACAM21,17.03625503217656
ING3,AC009403.2,17.00517418925827
DUS3L,MKNK2,16.989279726833832
NR4A1,N4BP2,16.987470154776556
E2F5,COL6A3,16.9617858919757
KLF2,ACSL3,16.920214047243416
RNF138,MRM1,16.882529934893327
SPATS2,TMEM170A,16.868826704941345
ZFP14,KLRF1,16.859857238429907
ING3,ARHGEF9,16.85785214586183
ING3,BTN3A1,16.831161667734396
ARFGAP1,SIK3,16.79039603937161
PPP1R10,PLA2G7,16.779460112950517
PHF21A,NOS3,16.673458397833116
ZNF568,BAG5,16.656794620077445
ING3,MTMR9,16.651068813874762
SEMA4A,INO80B,16.62231226838271
E2F5,PARVG,16.53529309429799
ZNF276,SPG11,16.51315625234131
CREBZF,RP11-686O6.2,16.503316118067975
SPATS2,HLA-DMB,16.48338001544328
ZNF407,GPM6B,16.469794234681864
ZNF528,CTD-3138B18.5,16.468859877726928
ZNF568,TNRC6B,16.46806503900171
ZNF408,KIAA0040,16.466939366921412
MEOX2,LINC01197,16.466506566700797
ZKSCAN4,HIST1H2BH,16.404434396364294
R3HDM2,CCL17,16.393607156460845
MEOX2,ADH1B,16.36610241062894
ZNF407,RBBP5,16.3469157024682
HIST1H2BN,CDK11A,16.34031208532932
RUNX2,MAP3K11,16.3323451873708
NFAT5,MYH11,16.28691622888127
NFATC2,WDR48,16.260505285388195
ZNF182,TRPM7,16.255244358949096
CTBP1,RP11-380N8.7,16.20625879896221
POU6F1,ZNF224,16.205511150626922
ZNF33A,NSUN6,16.183860857720607
ZZZ3,ERCC6L2,16.155927064867754
NFATC2,ASB3,16.116926475451972
PHF21A,C1orf216,16.116441775087303
CTBP1,PSD4,16.11323781310218
KLF2,SSH1,16.066520387427175
MBD1,ZNF195,16.001319317444263
ZNF302,CDK14,15.967338398195102
ZNF683,RP11-51J9.5,15.960412322061382
U2AF1,CCL19,15.930958189392314
HOXB2,FAIM,15.882871765871876
SNAI3,CAMK4,15.854044829785796
ZNF626,TYW1,15.827358113747502
MEOX2,MAP3K3,15.816271312253912
ELK3,MLLT10,15.815390377591466
ZNF184,ZNF267,15.813517828677416
ZNF787,INPP4A,15.806530266268721
FOSB,GTF2H1,15.787136281198606
RNF138,TULP4,15.778423594885611
R3HDM2,ZNF394,15.75967720781274
ZNF821,CDK13,15.737103805894304
ZNF552,EFNA4,15.732690494563132
RUNX3,MMD,15.712248019993769
NFAT5,C9orf40,15.707645833494462
DUS3L,PROCA1,15.692554373473989
FLI1,FBXO9,15.631911751119288
SNAI3,OSER1,15.614849697854622
HIST2H2BE,CD28,15.60269811723491
ETS1,NCAPD2,15.592987764546837
ZNF316,ZNF276,15.58999457135749
ZNF683,IL18RAP,15.585711891993727
MYB,LINC00649,15.577726542351627
ZNF26,TSPAN31,15.571625019026406
ZNF408,DNAJC5,15.5685950208742
TBP,PSME4,15.552588585778235
ZNF652,TNIK,15.509737307036918
FOSB,ASPHD2,15.480662489166699
ZNF552,RBM4,15.478464439669368
FOXK1,ADH1B,15.477121941239742
NR4A1,FAM63B,15.452959002596183
U2AF1,RP11-473M20.16,15.438647210530593
ZNF683,KLHDC9,15.420416568510205
ZNF251,PI16,15.415136709100862
IKZF3,RP4-742C19.13,15.398461173761348
SNAI3,SGSM3,15.389721057730263
KDM4C,ABCD1,15.382952282438556
ZNF528,DISC1,15.377838177054798
U2AF1,PDE7A,15.35973981623594
ZNF791,CLDND2,15.350249572820687
SP2,HPCAL1,15.34213907251781
ZNF800,MAPKAPK2,15.31738087917838
PBX4,KIF3A,15.314196969835471
ZNF652,MT1F,15.302797965177048
ZNF774,TAMM41,15.301830343550865
R3HDM2,C18orf25,15.295879147783841
TCF7,HIST1H3H,15.28892022769413
ZNF320,ZBTB20,15.250895292662811
FOXK1,B4GAT1,15.239066535019042
ZNF652,GOLGA8B,15.227539127984823
ZBTB2,KLHL2,15.227329370533008
MEOX2,MTMR2,15.22561358741824
ELF1,LMBRD2,15.223100115280678
CREBZF,ZC3H12B,15.213482732916763
RORA,DNASE1,15.208815704443175
POU2F1,RP11-332H14.2,15.191018837913203
U2AF1,C1QB,15.182371855541401
FOXP4,GNL3L,15.141460264588979
ZNF717,SYNJ2BP,15.094233721930143
SPATS2,SIK3,15.08595202323445
ZNF568,ASB3,15.062373015805703
ELF1,HCFC1-AS1,15.054635962541777
ZNF267,PDE6G,15.035545948158171
POU6F1,CREBZF,15.034132076435972
R3HDM2,CSTA,15.030176990809002
ZNF626,ATAD3C,15.009248963226705
ING3,OMA1,15.000556879138394
FIZ1,ZNF774,14.969628878563674
ZNF793,ZNF672,14.928205113281823
ZNF350,PAN3,14.921692007945671
SNAI3,ADCK5,14.921318219142904
ELK3,TBC1D19,14.896096543149769
CCNT2,RP5-1136G13.2,14.894136306861148
